package_version,code_name,release_version,status
10.1ubuntu2.4,Bionic,18.04,Supported
10.1ubuntu8,Disco,19.04,EOL
10.1ubuntu7,Disco,19.04,EOL
10.1ubuntu7,Cosmic,18.10,EOL
10.1ubuntu2.3,Bionic,18.04,Supported
10.1ubuntu6,Cosmic,18.10,EOL
10.1ubuntu2.2,Bionic,18.04,Supported
10.1ubuntu5,Cosmic,18.10,EOL
10.1ubuntu2.1,Bionic,18.04,Supported
9.4ubuntu4.7,Xenial,16.04,Supported
10.1ubuntu4,Cosmic,18.10,EOL
10.1ubuntu3,Cosmic,18.10,EOL
10.1ubuntu2,Cosmic,18.10,EOL
10.1ubuntu2,Bionic,18.04,Supported
10.1ubuntu1,Bionic,18.04,Supported
9.4ubuntu4.6,Xenial,16.04,Supported
10ubuntu1,Bionic,18.04,Supported
9.6ubuntu102,Bionic,18.04,Supported
9.6ubuntu13.1,Zesty,17.04,EOL
9.6ubuntu102,Artful,17.10,EOL
9.4ubuntu4.5,Xenial,16.04,Supported
9.6ubuntu101,Artful,17.10,EOL
9.6ubuntu100,Artful,17.10,EOL
9.6ubuntu99,Artful,17.10,EOL
9.6ubuntu13,Artful,17.10,EOL
9.6ubuntu13,Zesty,17.04,EOL
9.6ubuntu12,Zesty,17.04,EOL
